product_id,product_name,brand_id,category_id,model_year,list_price
84,Sun Bicycles Lil Kitt'n - 2017,7,1,2017,109.99
85,Haro Downtown 16 - 2017,2,1,2017,329.99
86,Trek Girl's Kickster - 2017,9,1,2017,149.99
87,Trek Precaliber 12 Boys - 2017,9,1,2017,189.99
88,Trek Precaliber 12 Girls - 2017,9,1,2017,189.99
89,Trek Precaliber 16 Boys - 2017,9,1,2017,209.99
90,Trek Precaliber 16 Girls - 2017,9,1,2017,209.99
91,Trek Precaliber 24 (21-Speed) - Girls - 2017,9,1,2017,349.99
92,Haro Shredder 20 - 2017,2,1,2017,209.99
93,Haro Shredder 20 Girls - 2017,2,1,2017,209.99
94,Haro Shredder Pro 20 - 2017,2,1,2017,249.99
95,"Electra Girl's Hawaii 1 16"" - 2017",1,1,2017,299.99
96,Electra Moto 3i (20-inch) - Boy's - 2017,1,1,2017,349.99
97,Electra Savannah 3i (20-inch) - Girl's - 2017,1,1,2017,349.99
98,Electra Straight 8 3i (20-inch) - Boy's - 2017,1,1,2017,489.99
99,Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,1,1,2017,299.99
100,Electra Townie 3i EQ (20-inch) - Boys' - 2017,1,1,2017,489.99
101,Electra Townie 7D (20-inch) - Boys' - 2017,1,1,2017,339.99
102,Electra Townie Original 7D - 2017,1,2,2017,489.99
103,Sun Bicycles Streamway 3 - 2017,7,2,2017,551.99
104,Sun Bicycles Streamway - 2017,7,2,2017,481.99
105,Sun Bicycles Streamway 7 - 2017,7,2,2017,533.99
106,Sun Bicycles Cruz 3 - 2017,7,2,2017,449.99
107,Sun Bicycles Cruz 7 - 2017,7,2,2017,416.99
108,Sun Bicycles Cruz 3 - Women's - 2017,7,2,2017,449.99
109,Sun Bicycles Cruz 7 - Women's - 2017,7,2,2017,416.99
110,Sun Bicycles Drifter 7 - 2017,7,2,2017,470.99
111,Sun Bicycles Drifter 7 - Women's - 2017,7,2,2017,470.99
112,Trek 820 - 2018,9,6,2018,379.99
113,Trek Marlin 5 - 2018,9,6,2018,489.99
114,Trek Marlin 6 - 2018,9,6,2018,579.99
115,Trek Fuel EX 8 29 - 2018,9,6,2018,3199.99
116,Trek Marlin 7 - 2017/2018,9,6,2018,749.99
117,Trek Ticket S Frame - 2018,9,6,2018,1469.99
118,Trek X-Caliber 8 - 2018,9,6,2018,999.99
119,Trek Kids' Neko - 2018,9,6,2018,469.99
120,Trek Fuel EX 7 29 - 2018,9,6,2018,2499.99
121,Surly Krampus Frameset - 2018,8,6,2018,2499.99
122,Surly Troll Frameset - 2018,8,6,2018,2499.99
123,Trek Farley Carbon Frameset - 2018,9,6,2018,999.99
124,Surly Krampus - 2018,8,6,2018,1499
125,Trek Kids' Dual Sport - 2018,9,6,2018,469.99
126,Surly Big Fat Dummy Frameset - 2018,8,6,2018,469.99
127,Surly Pack Rat Frameset - 2018,8,6,2018,469.99
128,Surly ECR 27.5 - 2018,8,6,2018,1899
129,Trek X-Caliber 7 - 2018,9,6,2018,919.99
130,Trek Stache Carbon Frameset - 2018,9,6,2018,919.99
131,Heller Bloodhound Trail - 2018,3,6,2018,2599
132,Trek Procal AL Frameset - 2018,9,6,2018,1499.99
133,Trek Procaliber Frameset - 2018,9,6,2018,1499.99
134,Trek Remedy 27.5 C Frameset - 2018,9,6,2018,1499.99
135,Trek X-Caliber Frameset - 2018,9,6,2018,1499.99
136,Trek Procaliber 6 - 2018,9,6,2018,1799.99
137,Heller Shagamaw GX1 - 2018,3,6,2018,2599
138,Trek Fuel EX 5 Plus - 2018,9,6,2018,2249.99
139,Trek Remedy 7 27.5 - 2018,9,6,2018,2999.99
140,Trek Remedy 9.8 27.5 - 2018,9,6,2018,4999.99
141,Trek Stache 5 - 2018,9,6,2018,1599.99
142,Trek Fuel EX 8 29 XT - 2018,9,6,2018,3199.99
143,Trek Domane ALR 3 - 2018,9,7,2018,1099.99
144,Trek Domane ALR 4 Disc - 2018,9,7,2018,1549.99
145,Trek Domane ALR 5 Disc - 2018,9,7,2018,1799.99
146,Trek Domane SLR 6 - 2018,9,7,2018,4999.99
147,Trek Domane ALR 5 Gravel - 2018,9,7,2018,1799.99
148,Trek Domane SL 8 Disc - 2018,9,7,2018,5499.99
314,Electra Townie Original 21D EQ Ladies' - 2018,1,2,2018,679.99
315,Electra Townie Original 21D Ladies' - 2018,1,2,2018,559.99
316,Trek Checkpoint ALR 4 Women's - 2019,9,7,2019,1699.99
317,Trek Checkpoint ALR 5 - 2019,9,7,2019,1999.99
318,Trek Checkpoint ALR 5 Women's - 2019,9,7,2019,1999.99
319,Trek Checkpoint SL 5 Women's - 2019,9,7,2019,2799.99
320,Trek Checkpoint SL 6 - 2019,9,7,2019,3799.99
321,Trek Checkpoint ALR Frameset - 2019,9,7,2019,3199.99
